case_id,paper_id,geo_accession,format_label,selected_format,recommended_mode,total_cells,selected_samples,number_of_samples,unique_gene_counts,transpose_required,metadata_required,gene_mapping_key,main_module,source_file
case_001_2021_olelekan_gse147082,2021_Olelekan,GSE147082,compressed_csv_count_tables,,local_temporary_download,,,,,,,,src/count_table_standardizer.py,cases/case_001_2021_olelekan_gse147082.yaml
case_002_2021_regner_gse173682,2021_Regner,GSE173682,per_sample_10x_like_matrix_market_triplets,,server_or_hpc,,,,,,,,src/tenx_mtx_standardizer.py,cases/case_002_2021_regner_gse173682.yaml
case_003_2020_tongton_gse130000,2020_Tongton,GSE130000,compressed_txt_count_tables,,local_temporary_download,,,,,,,,src/gene_mapping_and_deduplication.py,cases/case_003_2020_tongton_gse130000.yaml
case_004_2021_hippen_gse158937,2021_Hippen,GSE158937,per_sample_10x_like_matrix_market_triplets,,local_temporary_download,,,,,,,,src/tenx_mtx_standardizer.py,cases/case_004_2021_hippen_gse158937.yaml
case_005_2020_geistlinger_gse154600,2020_Geistlinger,GSE154600,per_sample_10x_like_matrix_market_triplets,,local_temporary_download,,,,,,,,src/tenx_mtx_standardizer.py,cases/case_005_2020_geistlinger_gse154600.yaml
case_006_2022_junfen_gse184880,2022_Junfen,GSE184880,cancer_only_10x_like_matrix_market_triplets,,local_temporary_download,,,,,,,,src/tenx_mtx_standardizer.py,cases/case_006_2022_junfen_gse184880.yaml
case_007_2023_guo_gse181955,2023_Guo,GSE181955,compressed_csv_count_tables_with_ensembl_feature_ids,,local_temporary_download,,,,,,,dataset_gene_ensembl_id,src/count_table_standardizer.py,cases/case_007_2023_guo_gse181955.yaml
case_008_2018_shih_gse118828,2018_Shih,GSE118828,compressed_csv_cell_by_gene_count_tables,,local_temporary_download,,,,,,,dataset_gene_symbol,src/count_table_standardizer.py,cases/case_008_2018_shih_gse118828.yaml
case_009_2022_zhang_gse165897,2022_Zhang,GSE165897,global_tsv_umi_count_matrix_plus_cell_metadata,,local_temporary_download,,,,,,,dataset_gene_symbol,src/global_matrix_metadata_standardizer.py,cases/case_009_2022_zhang_gse165897.yaml
case_010_2022_ignacio_gse180661,2022_Ignacio,GSE180661,huge_existing_h5ad_like_matrix_plus_external_rich_cell_metadata,,server_or_hpc,,,,,,,dataset_gene_symbol,src/h5ad_inspector.py,cases/case_010_2022_ignacio_gse180661.yaml
case_011_2023_hippen_gse217517,2023_Hippen,GSE217517,mixed_archive_per_sample_10x_triplets_plus_pooled_single_cell_plus_bulk,per_sample_10x_matrix_market_triplets,local_temporary_download,,,,,,True,dataset_gene_symbol,src/tenx_mtx_standardizer.py,cases/case_011_2023_hippen_gse217517.yaml
case_012_2024_brand_gse233615,2024_Brand,GSE233615,per_sample_10x_filtered_feature_bc_matrix_h5,,local_temporary_download,,,,,,True,dataset_gene_symbol,src/tenx_h5_standardizer.py,cases/case_012_2024_brand_gse233615.yaml
case_013_2021_li_gse168652,2021_Li,GSE168652,nested_tar_single_sample_10x_matrix_market_triplet,,local_temporary_download,14220.0,1.0,,[33694],True,,dataset_gene_symbol,src/nested_archive_extractor.py,cases/case_013_2021_li_gse168652.yaml
case_014_2022_shen_gse191301,2022_Shen,GSE191301,per_sample_10x_matrix_market_triplets_pre_post_nact,,local_temporary_download,41780.0,,,[27984],,True,dataset_gene_symbol,src/tenx_mtx_standardizer.py,cases/case_014_2022_shen_gse191301.yaml
case_015_2024_denisenko_gse211956,2024_Denisenko,GSE211956,mixed_archive_scrna_txt_count_tables_plus_spatial_visium,per_sample_compressed_txt_gene_by_cell_count_tables,local_temporary_download,16682.0,5.0,,[19915],True,True,dataset_gene_symbol,src/count_table_standardizer.py,cases/case_015_2024_denisenko_gse211956.yaml
case_016_2025_pounds_gse281120,2025_Pounds,GSE281120,single_global_compressed_csv_gene_by_cell_count_matrix_with_cell_suffix_samples,,large_local_temporary_download,,,,,True,True,dataset_gene_symbol,src/global_matrix_metadata_standardizer.py,cases/case_016_2025_pounds_gse281120.yaml
case_017_2022_loret_gse201047,2022_Loret,GSE201047,per_sample_old_10x_h5_v2_genome_group_hg19,,local_temporary_download,106169.0,,22.0,[32738],True,True,dataset_gene_symbol,src/tenx_h5_standardizer.py,cases/case_017_2022_loret_gse201047.yaml
